GroupName	Offset	ID0	DENSITY0	PROB0	ID1	DENSITY1	PROB1	ID2	DENSITY2	PROB2	ID3	DENSITY3	PROB3	ID4	DENSITY4	PROB4	ID5	DENSITY5	PROB5	ID6	DENSITY6	PROB6	ID7	DENSITY7	PROB7	SHRINES	WELLS
Cellar Clickables	57	154	30	10	270	30	10	176	30	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellar Shrines	58	116	0	20	280	0	20	281	0	20	279	0	20	282	0	20	0	0	0	0	0	0	0	0	0	0	0
travisal objects	59	203	30	20	204	30	20	205	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
travisal objects2	60	181	30	20	183	30	20	208	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
travinsal shrine	61	199	0	20	200	0	20	201	0	20	206	0	20	202	0	20	0	0	0	0	0	0	0	0	0	0	0
act3 sewer shrine	62	325	0	16	197	0	16	191	0	16	278	0	16	120	0	16	184	0	16	0	0	0	0	0	0	1	0
not used	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
act3 sewer objects	64	181	30	20	183	30	20	185	30	20	187	30	20	186	30	20	0	0	0	0	0	0	0	0	0	0	0
act3 sewer objects	65	244	30	20	246	30	20	225	30	20	326	30	10	327	30	20	0	0	0	0	0	0	0	0	0	0	0
act 3dungeon shrines	66	325	0	50	361	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
act 3 dungeon objects	67	326	30	12	225	16	24	360	30	20	362	30	20	271	30	24	0	0	0	0	0	0	0	0	0	0	0
spider objects	68	333	30	20	334	30	20	335	30	20	336	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
act 3 jungle clickables #3	69	0	0	0	169	30	20	185	30	20	271	30	20	326	30	10	0	0	0	0	0	0	0	0	0	0	0
act 3 sewer objects	70	208	30	20	209	30	20	271	30	20	225	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
not used	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
not used	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
act 2 Harum bed	73	289	30	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
act ? mephisto clickables	74	329	30	20	330	30	20	331	30	20	332	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
act 2 arcane sanctuary	75	319	0	25	320	0	25	303	0	25	133	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0
act 3 kurasthealthshrine	76	343	0	50	344	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
act 4 outer hell guys	77	380	30	25	369	50	25	383	30	25	384	30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
indoor act 2 caskets	78	89	30	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
