LevelName	TileName	Style	StartSequence	EndSequence	Type1	Cel1	Type2	Cel2	Type2	Cel3	Type4	Cel4
1 Town	wl	0	30	30	wgn1_wl030	410		-1		-1		-1
1 Town	wl	0	28	28	wgn1_wl028	411		-1		-1		-1
1 Town	wl	0	26	26	wgn1_wl026	412		-1		-1		-1
1 Town	wr	0	27	27	wgn2_wr027	415		-1		-1		-1
1 Town	wr	0	29	29	wgn2_wr029	416		-1		-1		-1
1 Town	wr	0	40	40	tntsm_wr040	413		-1		-1		-1
1 Town	wl	0	43	43	tntsm_wl043	414		-1		-1		-1
1 Town	wr	0	33	33	tntlrg_wr033	417		-1		-1		-1
1 Town	wl	0	36	36	tntlrg_wl036	418		-1		-1		-1
1 Town	wl	0	34	34	tntlrg_wl034	419		-1		-1		-1
1 Town	wr	0	36	36	smthy_wr036	420		-1		-1		-1
1 Town	wr	0	38	38	smthy_wr038	421		-1		-1		-1
1 Town	fl	1	61	61	smthy_fl161	422		-1		-1		-1
1 Town	fl	0	54	54	Waypoint	307		-1		-1		-1
1 Town	wr	0	19	19	wgn3_wr021	423		-1		-1		-1
1 Town	wr	0	21	21	wgn3_wl020	424		-1		-1		-1
1 Town	co	6	7	7	Stash_Box	319		-1		-1		-1
1 Town	wr	0	24	24	cart_wr024	425		-1		-1		-1
1 Wilderness	wr	0	4	4	Stn_WR a	11		-1		-1		-1
1 Wilderness	wr	0	5	5	Stn_L R E	18		-1		-1		-1
1 Wilderness	wr	0	6	6	Stn_U R E	10		-1		-1		-1
1 Wilderness	wr	0	0	3	WR A	20		-1		-1		-1
1 Wilderness	wl	0	0	0	WL A	21		-1		-1		-1
1 Wilderness	wl	0	1	1	WLD 1	35		-1		-1		-1
1 Wilderness	wl	0	2	-1	WL A	21		-1		-1		-1
1 Wilderness	wtll	0	-1	-1	WTLL	24		-1		-1		-1
1 Wilderness	fl	0	1	47	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Wilderness	fl	0	54	54	Waypoint	307		-1		-1		-1
1 Wilderness	fl	0	49	49	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Wilderness	fl	2	0	3	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Wilderness	fl	2	4	7	River T A	4		-1		-1		-1
1 Wilderness	fl	2	8	11	River M A	6	River M B	7	River M C	8		-1
1 Wilderness	fl	2	12	15	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Wilderness	fl	2	16	19	River T A	4		-1		-1		-1
1 Wilderness	fl	2	20	24	River M A	6	River M B	7	River M C	8		-1
1 Wilderness	fl	3	0	3	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Wilderness	fl	3	4	7	River B A	5		-1		-1		-1
1 Wilderness	fl	3	8	11	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Wilderness	fl	3	12	15	River B A	5		-1		-1		-1
1 Wilderness	wr	10	2	2	WBL	22		-1		-1		-1
1 Wilderness	wr	10	0	1	WR A	20		-1		-1		-1
1 Wilderness	wr	10	3	6	WR A	20		-1		-1		-1
1 Wilderness	wr	10	13	-1	WR A	20		-1		-1		-1
1 Wilderness	wl	10	2	2	WTR	23		-1		-1		-1
1 Wilderness	wl	10	0	1	WL A	21		-1		-1		-1
1 Wilderness	wl	10	3	12	WL A	21		-1		-1		-1
1 Wilderness	wl	10	14	-1	WL A	21		-1		-1		-1
1 Wilderness	wtlr	10	-1	-1	WTLL	24		-1		-1		-1
1 Wilderness	wtll	10	-1	-1	WTLL	24		-1		-1		-1
1 Wilderness	wbr	10	-1	-1	WBR	25		-1		-1		-1
1 Wilderness	wtr	10	-1	-1	WTR	23		-1		-1		-1
1 Wilderness	wbl	10	-1	-1	WBL	22		-1		-1		-1
1 Wilderness	wrd	10	0	0	WBR	25		-1		-1		-1
1 Wilderness	wld	10	1	1	WLE B	33		-1		-1		-1
1 Wilderness	wld	10	0	0	WLE A	32		-1		-1		-1
1 Wilderness	wre	10	1	1	Cave M BCT	159		-1		-1		-1
1 Wilderness	wre	10	3	3	Cave M RWS D	158		-1		-1		-1
1 Wilderness	wre	10	0	0	G_WLE A BROKE	86		-1		-1		-1
1 Wilderness	wre	10	2	2	G_WLE B	87		-1		-1		-1
1 Wilderness	wr	10	7	7	Crypt_11	436		-1		-1		-1
1 Wilderness	wr	10	9	9	Crypt_12	437		-1		-1		-1
1 Wilderness	wr	10	12	12	Crypt_21	438		-1		-1		-1
1 Wilderness	wl	10	13	13	Crypt_22	439		-1		-1		-1
1 Wilderness	fl	10	0	0	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Wilderness	fl	10	5	11	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Wilderness	wr	2	0	4	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Wilderness	wl	2	0	4	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Wilderness	wtr	2	0	4	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Wilderness	wtlr	2	0	4	Stn_X	16		-1		-1		-1
1 Wilderness	wtll	2	0	4	Stn_X	16		-1		-1		-1
1 Wilderness	wbl	2	0	4	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Wilderness	wr	2	0	13	F_WR	60		-1		-1		-1
1 Wilderness	wl	2	0	13	F_WL	61		-1		-1		-1
1 Wilderness	wtlr	2	-1	-1	F_WTLL	64		-1		-1		-1
1 Wilderness	wtll	2	-1	-1	F_WTLL	64		-1		-1		-1
1 Wilderness	wbr	2	-1	-1	F_WBR	65		-1		-1		-1
1 Wilderness	wtr	2	-1	-1	F_WTR	63		-1		-1		-1
1 Wilderness	wbl	2	-1	-1	F_WBL	62		-1		-1		-1
1 Wilderness	wr	2	14	23	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Wilderness	wl	2	14	23	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Wilderness	wr	3	-1	-1	C_WR a	46	C_WR b	47	C_WR c	48	C_WR d	49
1 Wilderness	wl	3	-1	-1	C_WL a	51	C_WL b	52	C_WL c	53	C_WL d	54
1 Wilderness	wtr	3	-1	-1	C_WL a	51	C_WL b	52	C_WL c	53	C_WL d	54
1 Wilderness	wtlr	3	-1	-1	C_WTLL	55		-1		-1		-1
1 Wilderness	wtll	3	-1	-1	C_WTLL	55		-1		-1		-1
1 Wilderness	wbr	3	-1	-1	C_WBR	50		-1		-1		-1
1 Wilderness	wbl	3	-1	-1	C_WL b	52		-1		-1		-1
1 Wilderness	wr	23	-1	-1	C_WR a	46	C_WR b	47	C_WR c	48	C_WR d	49
1 Wilderness	wl	23	-1	-1	C_WL a	51	C_WL b	52	C_WL c	53	C_WL d	54
1 Wilderness	wtr	23	-1	-1	C_WRE 2	59		-1		-1		-1
1 Wilderness	wtlr	23	-1	-1	C_WTLL	55		-1		-1		-1
1 Wilderness	wtll	23	-1	-1	C_WTLL	55		-1		-1		-1
1 Wilderness	wbr	23	-1	-1	C_WBR	50		-1		-1		-1
1 Wilderness	wbl	23	-1	-1	C_WR a	46	C_WR b	47	C_WR c	48	C_WR d	49
1 Wilderness	wle	3	0	0	C_WLE 1	56		-1		-1		-1
1 Wilderness	wle	3	1	1	C_WLE 2	57		-1		-1		-1
1 Wilderness	wre	4	0	0	C_WRE 1	58		-1		-1		-1
1 Wilderness	wre	4	1	1	C_WRE 2	59		-1		-1		-1
1 Wilderness	wl	39	0	0	Den of Evil	312		-1		-1		-1
1 Wilderness	fl	4	0	3	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	4	4	Bridge T A	76		-1		-1		-1
1 Wilderness	fl	4	5	6	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	7	7	Bridge B A	73		-1		-1		-1
1 Wilderness	fl	4	8	8	Bridge T B	77		-1		-1		-1
1 Wilderness	fl	4	9	10	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	11	11	Bridge B B	74		-1		-1		-1
1 Wilderness	fl	4	12	12	Bridge T B	77		-1		-1		-1
1 Wilderness	fl	4	13	14	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	15	15	Bridge B B	74		-1		-1		-1
1 Wilderness	fl	4	16	16	Bridge T B	77		-1		-1		-1
1 Wilderness	fl	4	17	18	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	19	19	Bridge B B	74		-1		-1		-1
1 Wilderness	fl	4	20	21	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	22	22	Bridge B B	74		-1		-1		-1
1 Wilderness	fl	4	23	26	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	27	27	Bridge T C	78		-1		-1		-1
1 Wilderness	fl	4	28	29	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	30	30	Bridge B C	75		-1		-1		-1
1 Wilderness	fl	4	31	31	Bridge T B	77		-1		-1		-1
1 Wilderness	fl	4	32	33	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	34	34	Bridge B B	74		-1		-1		-1
1 Wilderness	fl	4	35	35	Bridge T B	77		-1		-1		-1
1 Wilderness	fl	4	36	37	Bridge M	79		-1		-1		-1
1 Wilderness	fl	4	38	38	Bridge B B	74		-1		-1		-1
1 Wilderness	fl	4	39	39	Bridge T B	77		-1		-1		-1
1 Wilderness	fl	21	12	12	C_WLE 2	57		-1		-1		-1
1 Wilderness	fl	21	14	14	C_WLE 1	56		-1		-1		-1
1 Wilderness	fl	24	10	10	C_WRE 2	59		-1		-1		-1
1 Wilderness	fl	24	9	9	C_WRE 1	58		-1		-1		-1
1 Wilderness	fl	25	25	25	WRE 1	36		-1		-1		-1
1 Wilderness	wr	15	3	3	WR A	20		-1		-1		-1
1 Wilderness	wr	15	0	0	FTwr_wr15_0	430		-1		-1		-1
1 Wilderness	wr	15	2	2	FTwr_wr15_2	431		-1		-1		-1
1 Wilderness	wr	15	5	5	FTwr_wr15_5	441		-1		-1		-1
1 Wilderness	wr	15	9	9	FTwr_wr15_9	442		-1		-1		-1
1 Wilderness	wr	15	8	8	FTwr_wr15_8	444		-1		-1		-1
1 Wilderness	wl	15	2	2	FTwr_wl15_2	428		-1		-1		-1
1 Wilderness	wl	15	0	0	FTwr_wl15_0	429		-1		-1		-1
1 Wilderness	wbl	15	0	0	FTwr_wbl15_0	440		-1		-1		-1
1 Wilderness	wtll	15	1	1	FTwr_wtll15_1	443		-1		-1		-1
1 Wilderness	wl	15	5	-1	WL A	21		-1		-1		-1
1 Wilderness	wr	15	5	-1	WR A	20		-1		-1		-1
1 Wilderness	fl	25	0	0	FTwr_marker	432		-1		-1		-1
1 Wilderness	wle	0	0	0	WLE B	33		-1		-1		-1
1 Wilderness	wle	1	0	0	WLE A	32		-1		-1		-1
1 Wilderness	wr	45	-1	-1	WR A	20		-1		-1		-1
1 Wilderness	wl	45	0	4	WL A	21		-1		-1		-1
1 Wilderness	wl	45	5	6	WBR	25		-1		-1		-1
1 Wilderness	wl	45	7	-1	WL A	21		-1		-1		-1
1 Wilderness	wtlr	45	-1	-1	WTLL	24		-1		-1		-1
1 Wilderness	wtll	45	-1	-1	WTLL	24		-1		-1		-1
1 Wilderness	wbr	45	2	2	WBR	25		-1		-1		-1
1 Wilderness	wbr	45	-1	-1	WBR	25		-1		-1		-1
1 Wilderness	wtr	45	0	2	WTR	23		-1		-1		-1
1 Wilderness	wtr	45	3	3	WBR	25		-1		-1		-1
1 Wilderness	wtr	45	-1	-1	WTR	23		-1		-1		-1
1 Wilderness	wbl	45	-1	-1	WBL	22		-1		-1		-1
1 Wilderness	wrd	45	-1	-1	WRD 1	34		-1		-1		-1
1 Wilderness	wld	45	-1	-1	WLD 1	35		-1		-1		-1
1 Wilderness	wtlr	8	0	0	TomeWall_utlr80	426		-1		-1		-1
1 Catacombs	fl	5	3	3	Waypoint	307		-1		-1		-1
1 Catacombs	wr	0	-1	-1	WR A	20	WR B	38		-1		-1
1 Catacombs	wl	0	-1	-1	WL A	21	WL B	39		-1		-1
1 Catacombs	wtlr	0	-1	-1	WTLL	24		-1		-1		-1
1 Catacombs	wtll	0	-1	-1	WTLL	24		-1		-1		-1
1 Catacombs	wbr	0	-1	-1	WBR	25		-1		-1		-1
1 Catacombs	wtr	0	-1	-1	WTR	23		-1		-1		-1
1 Catacombs	wbl	0	-1	-1	WBL	22		-1		-1		-1
1 Catacombs	wrd	0	0	0	WRD B	27		-1		-1		-1
1 Catacombs	wrd	0	1	1	WRD A	26		-1		-1		-1
1 Catacombs	wld	0	1	1	WLD B	29		-1		-1		-1
1 Catacombs	wld	0	0	0	WLD A	28		-1		-1		-1
1 Catacombs	wre	0	0	0	WRE A	30		-1		-1		-1
1 Catacombs	wre	0	1	1	WRE B	31		-1		-1		-1
1 Catacombs	wle	1	0	0	WLE A	32		-1		-1		-1
1 Catacombs	wle	1	1	1	WLE B	33		-1		-1		-1
1 Catacombs	co	1	0	3	WBR	25		-1		-1		-1
1 Catacombs	wr	2	-1	-1	WR A	20	WR B	38		-1		-1
1 Catacombs	wl	2	-1	-1	WL A	21	WL B	39		-1		-1
1 Catacombs	wtlr	2	-1	-1	WTLL	24		-1		-1		-1
1 Catacombs	wtll	2	-1	-1	WTLL	24		-1		-1		-1
1 Catacombs	wbr	2	-1	-1	WBR	25		-1		-1		-1
1 Catacombs	wtr	2	-1	-1	WTR	23		-1		-1		-1
1 Catacombs	wbl	2	-1	-1	WBL	22		-1		-1		-1
1 Catacombs	wrd	2	0	0	WRD A	26		-1		-1		-1
1 Catacombs	wrd	2	1	1	WRD B	27		-1		-1		-1
1 Catacombs	wld	2	1	1	WLD A	28		-1		-1		-1
1 Catacombs	wld	2	0	0	WLD B	29		-1		-1		-1
1 Catacombs	fl	21	0	0	FLE 0 T	41		-1		-1		-1
1 Catacombs	fl	21	1	1	FLE 1 R	42		-1		-1		-1
1 Catacombs	fl	21	2	2	FLE 2 L	40		-1		-1		-1
1 Catacombs	fl	21	3	3	FLE 3 B	43		-1		-1		-1
1 Crypt	wr	0	-1	-1	WR A	20	WR B	38		-1		-1
1 Crypt	wl	0	-1	-1	WL A	21	WL B	39		-1		-1
1 Crypt	wtlr	0	-1	-1	WTLL	24		-1		-1		-1
1 Crypt	wtll	0	-1	-1	WTLL	24		-1		-1		-1
1 Crypt	wbr	0	-1	-1	WBR	25		-1		-1		-1
1 Crypt	wtr	0	-1	-1	WTR	23		-1		-1		-1
1 Crypt	wbl	0	-1	-1	WBL	22		-1		-1		-1
1 Crypt	co	0	0	0	WBR	25		-1		-1		-1
1 Crypt	wrd	0	0	0	WRD B	27		-1		-1		-1
1 Crypt	wrd	0	1	1	WRD A	26		-1		-1		-1
1 Crypt	wld	0	1	1	WLD B	29		-1		-1		-1
1 Crypt	wld	0	0	0	WLD A	28		-1		-1		-1
1 Crypt	wre	0	0	0	WRE A	30		-1		-1		-1
1 Crypt	wre	0	1	1	WRE B	31		-1		-1		-1
1 Crypt	wle	0	1	1	WLE A	32		-1		-1		-1
1 Crypt	wle	0	0	0	WLE B	33		-1		-1		-1
1 Crypt	wle	1	0	0	WLE A	32		-1		-1		-1
1 Crypt	wle	1	1	1	WLE B	33		-1		-1		-1
1 Barracks	wre	0	1	1	WRE B	31		-1		-1		-1
1 Barracks	wre	0	0	0	WRE A	30		-1		-1		-1
1 Barracks	wre	1	1	1	WRE B	31		-1		-1		-1
1 Barracks	wre	1	0	0	WRE A	30		-1		-1		-1
1 Barracks	wle	0	1	1	WLE B	33		-1		-1		-1
1 Barracks	wle	0	0	0	WLE A	32		-1		-1		-1
1 Barracks	wle	1	1	1	WLE B	33		-1		-1		-1
1 Barracks	wle	1	0	0	WLE A	32		-1		-1		-1
1 Barracks	wr	4	-1	-1	WR A	20		-1		-1		-1
1 Barracks	wl	4	-1	-1	WL A	21		-1		-1		-1
1 Barracks	wtlr	4	-1	-1	WTLL	24		-1		-1		-1
1 Barracks	wtll	4	-1	-1	WTLL	24		-1		-1		-1
1 Barracks	wbr	4	-1	-1	WBR	25		-1		-1		-1
1 Barracks	wtr	4	-1	-1	WTR	23		-1		-1		-1
1 Barracks	wbl	4	-1	-1	WBL	22		-1		-1		-1
1 Barracks	co	4	-1	-1	WBR	25		-1		-1		-1
1 Barracks	wrd	4	-1	-1	WRD B	27		-1		-1		-1
1 Barracks	wrd	4	-1	-1	WRD A	26		-1		-1		-1
1 Barracks	wld	4	-1	-1	WLD B	29		-1		-1		-1
1 Barracks	wld	4	-1	-1	WLD A	28		-1		-1		-1
1 Barracks	wrd	5	0	0	WRD B	27		-1		-1		-1
1 Barracks	wrd	5	1	1	WRD A	26		-1		-1		-1
1 Barracks	wld	5	1	1	WLD B	29		-1		-1		-1
1 Barracks	wld	5	0	0	WLD A	28		-1		-1		-1
1 Barracks	wld	5	2	2	WL A	21		-1		-1		-1
1 Barracks	wr	5	-1	-1	WR A	20		-1		-1		-1
1 Barracks	wl	5	-1	-1	WL A	21		-1		-1		-1
1 Barracks	wtlr	5	-1	-1	WTLL	24		-1		-1		-1
1 Barracks	wtll	5	-1	-1	WTLL	24		-1		-1		-1
1 Barracks	wbr	5	-1	-1	WBR	25		-1		-1		-1
1 Barracks	wtr	5	-1	-1	WTR	23		-1		-1		-1
1 Barracks	wbl	5	-1	-1	WBL	22		-1		-1		-1
1 Barracks	co	5	-1	-1	WBR	25		-1		-1		-1
1 Barracks	wr	7	-1	-1	WR A	20		-1		-1		-1
1 Barracks	wl	7	-1	-1	WL A	21		-1		-1		-1
1 Barracks	wtlr	7	-1	-1	WTLL	24		-1		-1		-1
1 Barracks	wtll	7	-1	-1	WTLL	24		-1		-1		-1
1 Barracks	wbr	7	-1	-1	WBR	25		-1		-1		-1
1 Barracks	wtr	7	-1	-1	WTR	23		-1		-1		-1
1 Barracks	wbl	7	-1	-1	WBL	22		-1		-1		-1
1 Barracks	wrd	7	0	0	WRD A	26		-1		-1		-1
1 Barracks	wrd	7	1	1	WRD B	27		-1		-1		-1
1 Barracks	wld	7	1	1	WLD A	28		-1		-1		-1
1 Barracks	wld	7	0	0	WLD B	29		-1		-1		-1
1 Barracks	fl	21	0	0	FLE 0 T	41		-1		-1		-1
1 Barracks	fl	21	1	1	FLE 1 R	42		-1		-1		-1
1 Barracks	fl	21	2	2	FLE 2 L	40		-1		-1		-1
1 Barracks	fl	21	3	3	FLE 3 B	43		-1		-1		-1
1 Jail	wre	0	1	1	WRE B	31		-1		-1		-1
1 Jail	wre	0	0	0	WRE A	30		-1		-1		-1
1 Jail	wre	1	1	1	WRE B	31		-1		-1		-1
1 Jail	wre	1	0	0	WRE A	30		-1		-1		-1
1 Jail	wle	0	1	1	WLE B	33		-1		-1		-1
1 Jail	wle	0	0	0	WLE A	32		-1		-1		-1
1 Jail	fl	0	15	15	Waypoint	307		-1		-1		-1
1 Jail	wle	1	1	1	WLE B	33		-1		-1		-1
1 Jail	wle	1	0	0	WLE A	32		-1		-1		-1
1 Jail	wr	4	-1	-1	WR A	20		-1		-1		-1
1 Jail	wl	4	-1	-1	WL A	21		-1		-1		-1
1 Jail	wtlr	4	-1	-1	WTLL	24		-1		-1		-1
1 Jail	wtll	4	-1	-1	WTLL	24		-1		-1		-1
1 Jail	wbr	4	-1	-1	WBR	25		-1		-1		-1
1 Jail	wtr	4	-1	-1	WTR	23		-1		-1		-1
1 Jail	wbl	4	-1	-1	WBL	22		-1		-1		-1
1 Jail	co	4	-1	-1	WBR	25		-1		-1		-1
1 Jail	wrd	5	0	0	WRD B	27		-1		-1		-1
1 Jail	wrd	5	1	1	WRD A	26		-1		-1		-1
1 Jail	wld	5	1	1	WLD B	29		-1		-1		-1
1 Jail	wld	5	0	0	WLD A	28		-1		-1		-1
1 Jail	wld	5	2	2	WL A	21		-1		-1		-1
1 Jail	wr	5	-1	-1	WR A	20		-1		-1		-1
1 Jail	wl	5	-1	-1	WL A	21		-1		-1		-1
1 Jail	wtlr	5	-1	-1	WTLL	24		-1		-1		-1
1 Jail	wtll	5	-1	-1	WTLL	24		-1		-1		-1
1 Jail	wbr	5	-1	-1	WBR	25		-1		-1		-1
1 Jail	wtr	5	-1	-1	WTR	23		-1		-1		-1
1 Jail	wbl	5	-1	-1	WBL	22		-1		-1		-1
1 Jail	co	5	-1	-1	WBR	25		-1		-1		-1
1 Jail	wr	7	-1	-1	WR A	20		-1		-1		-1
1 Jail	wl	7	-1	-1	WL A	21		-1		-1		-1
1 Jail	wtlr	7	-1	-1	WTLL	24		-1		-1		-1
1 Jail	wtll	7	-1	-1	WTLL	24		-1		-1		-1
1 Jail	wbr	7	-1	-1	WBR	25		-1		-1		-1
1 Jail	wtr	7	-1	-1	WTR	23		-1		-1		-1
1 Jail	wbl	7	-1	-1	WBL	22		-1		-1		-1
1 Jail	wrd	7	0	0	WRD A	26		-1		-1		-1
1 Jail	wrd	7	1	1	WRD B	27		-1		-1		-1
1 Jail	wld	7	1	1	WLD A	28		-1		-1		-1
1 Jail	wld	7	0	0	WLD B	29		-1		-1		-1
1 Jail	fl	21	0	0	FLE 0 T	41		-1		-1		-1
1 Jail	fl	21	1	1	FLE 1 R	42		-1		-1		-1
1 Jail	fl	21	2	2	FLE 2 L	40		-1		-1		-1
1 Jail	fl	21	3	3	FLE 3 B	43		-1		-1		-1
1 Courtyard	fl	0	54	54	Waypoint	307		-1		-1		-1
1 Courtyard	wr	1	-1	-1	WR A	20	WR B	38		-1		-1
1 Courtyard	wl	1	-1	-1	WL A	21	WL B	39		-1		-1
1 Courtyard	wtlr	1	-1	-1	WTLL	24		-1		-1		-1
1 Courtyard	wtll	1	-1	-1	WTLL	24		-1		-1		-1
1 Courtyard	wbr	1	-1	-1	WBR	25		-1		-1		-1
1 Courtyard	wtr	1	-1	-1	WTR	23		-1		-1		-1
1 Courtyard	wbl	1	-1	-1	WBL	22		-1		-1		-1
1 Courtyard	wr	2	-1	-1	WR A	20	WR B	38		-1		-1
1 Courtyard	wl	2	-1	-1	WL A	21	WL B	39		-1		-1
1 Courtyard	wtlr	2	-1	-1	WTLL	24		-1		-1		-1
1 Courtyard	wtll	2	-1	-1	WTLL	24		-1		-1		-1
1 Courtyard	wbr	2	-1	-1	WBR	25		-1		-1		-1
1 Courtyard	wtr	2	-1	-1	WTR	23		-1		-1		-1
1 Courtyard	wbl	2	-1	-1	WBL	22		-1		-1		-1
1 Courtyard	fl	4	28	28	Waypoint	307		-1		-1		-1
1 Courtyard	wr	4	-1	-1	WR A	20	WR B	38		-1		-1
1 Courtyard	wl	4	-1	-1	WL A	21	WL B	39		-1		-1
1 Courtyard	wtlr	4	-1	-1	WTLL	24		-1		-1		-1
1 Courtyard	wtll	4	-1	-1	WTLL	24		-1		-1		-1
1 Courtyard	wbr	4	-1	-1	WBR	25		-1		-1		-1
1 Courtyard	wtr	4	-1	-1	WTR	23		-1		-1		-1
1 Courtyard	wbl	4	-1	-1	WBL	22		-1		-1		-1
1 Courtyard	wrd	4	0	0	WRD B	27		-1		-1		-1
1 Courtyard	wrd	4	1	1	WRD A	26		-1		-1		-1
1 Courtyard	wrd	4	2	2	WR A	20		-1		-1		-1
1 Courtyard	wrd	4	5	5	WRD A	26		-1		-1		-1
1 Courtyard	wrd	4	4	4	WR A	20		-1		-1		-1
