AI	*aip1	*aip2	*aip3	*aip4	*aip5	*aip6	*aip7	*aip8	*eol
OblivionKnight	flee range	engage range	curse timer	curse?	shoot?	bonespirit?	approach?	approach dist	0
QuillMother	attack?	approach?	melee stall	regular stall					0
EvilHole	num to spawn	spawn delay							0
Trap-Missile	distance	num to shoot	delay						0
Trap-RightArrow	min dist	max dist	delay	delay2					0
Trap-LeftArrow	min dist	max dist	delay	delay2					0
Trap-Poison	range	num times	delay						0
JarJar									0
InvisoSpawner	num to spawn	activation dist	delay						0
MosquitoNest	num to spawn	activation dist	delay						0
BoneWall									0
HighPriest	engage?	heal at range?	heal/hydra timer	hydra at range?	ltng at range?	disengage?	ltng engaged?	range	0
Hydra									0
Trap-Melee									0
7TIllusion									0
Megademon	inferno ranged?	inferno melee?	swing melee?	approach?	circle melee?	inferno timer			0
Griswold									0
DarkWanderer									0
Trap-Nova	range	num times	delay						0
ArcaneTower	num sk1	sk1 stall	sk1 long delay	num sk2	sk2 stall	sk2 long delay			0
DesertTurret	short delay	num shots	long delay	range	spread				0
PantherJavelin	approach?	throw?	group dist	walk away?	stall time	throw dist			0
FetishBlowgun	stay in range	run away?							0
Spirit									0
Smith									0
TrappedSoul									0
Buffy									0
AssassinSentry									0
BladeCreeper									0
InvisoPet									0
DeathSentry									0
ShadowWarrior	max target dist	max boss dist	attack chance	skill decrement				summoning skill/min to use skill/max to use skill	0
ShadowMaster	approach dist/melee bonus/progressive bonus	random pick/ignore range/boss leash	attack chance					summoning skill	0
Raven									0
DruidWolf									0
Totem									0
Vines									0
CycleOfLife									0
DruidBear									0
SiegeTower	stall time								0
ReanimatedHorde	attack?	melee stall	charge range	charge?	follow?	walk forward?	ranged stall	reanimate	0
SiegeBeast	call imp dist	attack?	stamp in melee?	melee stall	stomp ranged?	charge?	charge vel		0
Minion	attack?	melee stall	approach?	ranged stall	att1/att2?				0
SuicideMinion	blow up delay	stall time	approach?						0
Succubus	attack?	approach?	curse?	curse range	melee stall	ranged stall	curse level		0
SuccubusWitch	attack?	approach?	walk away?	comfort dist	shoot?	stall	amp dam tgt hp%	weaken my hp%	0
Overseer	rally spell timer	heal?	whip?	comfort dist	comfort zone	attack?	att1/att2?		0
MinionSpawner	num to spawn	stall time	spawn delay	activation range	max in area				0
Imp	refer to source								0
Catapult	attack?								0
FrozenHorror	attack?	approach?	arctic blast?	stall time					0
BloodLord	attack?	approach?	frenzy/att1?	stall time					0
CatapultSpotter	attack?	delay	range	random range	shots per skill				0
NpcBarb									0
Nihlathak									0
GenericSpawner									0
DeathMauler	attack?	approach?	shoot range	shoot?					0
Wussie									0
AncientStatue									0
Ancient									0
BaalThrone									0
BaalCrab									0
BaalTaunt									0
PutridDefiler									0
BaalToStairs									0
BaalTentacle									0
BaalCrabClone									0
BaalMinion									0
ClawViperEx	charge?	charge dist	attack?	shoot?	stall time	charge color	shoot dist	shoot timer	0
ShadowMasterNoInit	approach dist/melee bonus/progressive bonus	random pick/ignore range	attack chance					summoning skill	0
UberIzual	attack?	engage?	nova at range?	nova in melee?	post nova doldrums	num swings			0
UberBaal									0
UberMephisto									0
UberDiablo									0
