name	armor	helm	shield	sword	axe	mace	spear	scepter	wand	staff	bow	boots	gloves	belt	ring	amulet	add	multiply	divide
scarab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
wood	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
brand	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
bludgeon	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
cudgel	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
loom	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
harp	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
master	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
barRI	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
hew	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
crook	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mar	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
shell	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stake	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
picket	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
pale	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
flange	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
